test,model,avg1,avg2,pvalue,stattest,group
model vs human,Llama3.1-70B-Instruct Q,0.913612565,0.945851528,0.001558171,mcnemar,1
model vs human,Llama3.1-405B-Instruct Q,0.931937173,0.945851528,0.174205405,mcnemar,1
model vs human,Llama3.3-70B-Instruct Q,0.920593368,0.945851528,0.011275812,mcnemar,1
model vs human,gpt-4o-mini Q,0.880453752,0.945851528,2.22E-09,mcnemar,1
model vs human,gpt-4o Q,0.94938918,0.945851528,0.76879181,mcnemar,1
met vs sim,glove add_lem,0.536382151,0.607142857,7.24E-07,chi2,2m
met vs sim,sbert2_long,0.586192469,0.728865979,9.78E-31,chi2,2m
met vs sim,GPT-Neo-1.3B m2,0.567503487,0.637113402,1.74E-08,chi2,
met vs sim,Llama2-7B m2,0.645606695,0.689690722,0.000145217,chi2,
met vs sim,Llama2-13B m2,0.660669456,0.69742268,0.001141451,chi2,
met vs sim,Llama2-70B m2,0.690655509,0.730927835,0.00030015,chi2,
met vs sim,Llama2-7B-chat m2,0.683403068,0.730927835,2.81E-05,chi2,
met vs sim,Llama2-13B-chat m2,0.70446304,0.737628866,0.002114811,chi2,
met vs sim,Llama-3-70B-Instruct-Turbo m2,0.692747559,0.73556701,0.000127238,chi2,
met vs sim,Llama-3.1-70B-Instruct-Turbo m2,0.705997211,0.75,6.94E-05,chi2,
met vs sim,Llama-3.1-405B-Instruct-Turbo m2,0.737517434,0.762371134,0.013144696,chi2,
met vs sim,Llama-3.3-70B-Instruct-Turbo m2,0.69986053,0.750515464,6.36E-06,chi2,
met vs sim,Llama2-70B mixedprompt,0.784379358,0.842268041,9.51E-09,chi2,2q
met vs sim,Llama2-13B-chat mixedprompt,0.667224547,0.732989691,1.75E-08,chi2,2q
met vs sim,Llama-3.1-70B-Instruct-Turbo mixedprompt,0.892050209,0.906701031,0.030823789,chi2,2q
met vs sim,Llama-3.1-405B-Instruct-Turbo mixedprompt,0.914783821,0.921134021,0.185339523,chi2,2q
met vs sim,Llama-3.3-70B-Instruct-Turbo mixedprompt,0.89804742,0.903608247,0.235195503,chi2,2q
met vs sim,GPT-4o-mini mixedprompt,0.862622036,0.904639175,4.62E-07,chi2,2q
met vs sim,GPT-4o mixedprompt,0.937935844,0.936082474,0.382364923,chi2,2q
met vs sim,o1-mini mixedprompt,0.919804742,0.936082474,0.008430092,chi2,2q
met vs sim,Llama-3-70B-Instruct c,0.694793119,0.7395189,1.64E-11,chi2,2m
met vs sim,Llama-3-70B-Instruct cf,0.648953975,0.667268041,0.016756999,chi2,
met vs sim,Llama-3.1-70B-Instruct c,0.69651325,0.740893471,2.16E-11,chi2,2m
met vs sim,Llama-3.1-70B-Instruct cf,0.645467225,0.672938144,0.000722515,chi2,
met vs sim,Llama-3.1-405B-Instruct c,0.736541144,0.756198347,0.00120936,chi2,2m
met vs sim,Llama-3.1-405B-Instruct cf,0.665341702,0.68,0.042735914,chi2,
met vs sim,Llama-3.3-70B-Instruct c,0.69683868,0.738831615,2.23E-10,chi2,2m
met vs sim,Llama-3.3-70B-Instruct cf,0.641910739,0.661597938,0.011448328,chi2,
met vs sim,Llama3.1-70B-Instruct Q,0.91,0.926829268,0.202524901,chi2,2t
met vs sim,Llama3.1-405B-Instruct Q,0.927777778,0.947154472,0.142451563,chi2,2t
met vs sim,Llama3.3-70B-Instruct Q,0.914444444,0.943089431,0.07043037,chi2,2t
met vs sim,gpt-4o-mini Q,0.872222222,0.910569106,0.050204085,chi2,2t
