,sbertall
all,0.5735455543358946
0l,0.7047200878155873
0h,0.48518111964873767
1l,0.5334796926454446
1h,0.6081229418221734
2l,0.7497255762897914
2h,0.43249176728869376
3l,0.2239297475301866
3h,0.8254665203073546
4l,0.6673984632272228
4h,0.4489571899012075
5l,0.5093304061470911
5h,0.6201975850713501
6l,0.6498353457738749
6h,0.5433589462129528
7l,0.6201975850713501
7h,0.5532381997804611
8l,0.601536772777168
8h,0.5279912184412733
9l,0.4972557628979144
9h,0.5861690450054885
10l,0.5455543358946213
10h,0.6432491767288694
11l,0.570801317233809
11h,0.5554335894621295
12l,0.5631174533479693
12h,0.5686059275521405
13l,0.575192096597146
13h,0.5718990120746432
14l,0.5214050493962679
14h,0.5916575192096597
15l,0.47639956092206365
15h,0.6114160263446762
16l,0.5971459934138309
16h,0.5159165751920965
17l,0.5598243688254665
17h,0.5949506037321625
18l,0.5214050493962679
18h,0.6333699231613611
19l,0.5784851811196488
19h,0.5718990120746432
20l,0.5806805708013172
20h,0.5345773874862788
21l,0.5971459934138309
21h,0.5883644346871569
22l,0.6322722283205269
22h,0.579582875960483
23l,0.570801317233809
23h,0.5784851811196488
24l,0.5982436882546652
24h,0.5510428100987925
25l,0.6278814489571899
25h,0.605927552140505
26l,0.5806805708013172
26h,0.5861690450054885
