,sbertall
all,0.5249180327868852
0l,0.7044025157232704
0h,0.42028985507246375
1l,0.5141065830721003
1h,0.5638629283489096
2l,0.7692307692307693
2h,0.40482573726541554
3l,0.16159250585480095
3h,0.8970588235294118
4l,0.6940298507462687
4h,0.32608695652173914
5l,0.39361702127659576
5h,0.63003663003663
6l,0.6284722222222222
6h,0.475
7l,0.5963636363636363
7h,0.49707602339181284
8l,0.47161572052401746
8h,0.5283018867924528
9l,0.4647887323943662
9h,0.552901023890785
10l,0.46
10h,0.6183206106870229
11l,0.46864686468646866
11h,0.5777027027027027
12l,0.5528169014084507
12h,0.48909657320872274
13l,0.5063613231552163
13h,0.5916030534351145
14l,0.4444444444444444
14h,0.5524691358024691
15l,0.348993288590604
15h,0.5879396984924623
16l,0.5991735537190083
16h,0.4879518072289157
17l,0.49814126394052044
17h,0.5640243902439024
18l,0.4326647564469914
18h,0.6008230452674898
19l,0.5193798449612403
19h,0.5089285714285714
20l,0.5570776255707762
20h,0.5427350427350427
21l,0.5514018691588785
21h,0.5087108013937283
22l,0.5612244897959183
22h,0.5017667844522968
23l,0.5306748466257669
23h,0.5346534653465347
24l,0.5542521994134897
24h,0.5068493150684932
25l,0.5516129032258065
25h,0.5171232876712328
26l,0.5373665480427047
26h,0.532871972318339
